key,wmae,ci_lo,ci_hi
Baseline,185.11128532152952,180.87414638248833,189.48536192493293
"Ridge — no lags, no wx",149.89125331556448,145.7959632157593,154.12916269981017
Ridge — no lags + wx,149.45350657149066,145.35078600799787,153.70261992555282
"Ridge — lags, no wx",29.279047494100034,28.318486116682134,30.32829225387956
Ridge — full,29.255362915147447,28.294429720671793,30.306286280308058
"RF — no lags, no wx",117.29366777413115,113.65413306849017,121.04872203206354
RF — no lags + wx,119.36891268253595,115.65281368056192,123.2239477099279
"RF — lags, no wx",27.256822316926023,26.204268153686403,28.42546245131764
RF — full,27.299969924978434,26.238996998245295,28.475419803516573
"XGB — no lags, no wx",44.96602406224162,43.382516751895686,46.6341544907901
XGB — no lags + wx,45.021079002043614,43.451718940436315,46.69178367831192
"XGB — lags, no wx",23.869304133534772,22.923824546683154,24.88453963603697
XGB — full,24.315203269749915,23.296869401640638,25.416577834597256
